date,success,cached,missing
2022-09-28,True,True,False
2022-09-29,True,True,False
2022-09-30,True,True,False
2022-10-01,True,True,False
2022-10-02,True,True,False
2022-10-03,True,True,False
2022-10-04,True,True,False
2022-10-05,True,True,False
2022-10-06,True,True,False
2022-10-07,True,True,False
2022-10-08,True,True,False
2022-10-09,True,True,False
2022-10-10,True,True,False
2022-10-11,True,True,False
2022-10-12,True,True,False
2022-10-13,True,True,False
2022-10-14,True,True,False
2022-10-15,True,True,False
2022-10-16,True,True,False
2022-10-17,True,True,False
2022-10-18,True,True,False
2022-10-19,True,True,False
2022-10-20,True,True,False
2022-10-21,True,True,False
2022-10-22,True,True,False
2022-10-23,True,True,False
2022-10-24,True,True,False
2022-10-25,True,True,False
2022-10-26,True,True,False
2022-10-27,True,True,False
2022-10-28,True,True,False
2022-10-29,True,True,False
2022-10-30,True,True,False
2022-10-31,True,True,False
2022-11-01,True,True,False
2022-11-02,True,True,False
2022-11-03,True,True,False
2022-11-04,True,True,False
2022-11-05,True,True,False
2022-11-06,True,True,False
2022-11-07,True,True,False
2022-11-08,True,True,False
2022-11-09,True,True,False
2022-11-10,True,True,False
2022-11-11,True,True,False
2022-11-12,True,True,False
2022-11-13,True,True,False
2022-11-14,True,True,False
2022-11-15,True,True,False
2022-11-16,True,False,False
2022-11-17,True,False,False
2022-11-18,True,False,False
2022-11-19,True,False,False
2022-11-20,True,False,False
2022-11-21,True,False,False
2022-11-22,True,False,False
2022-11-23,True,False,False
2022-11-24,True,False,False
2022-11-25,True,False,False
2022-11-26,True,False,False
2022-11-27,True,False,False
2022-11-28,True,False,False
2022-11-29,True,False,False
2022-11-30,True,False,False
2022-12-01,True,False,False
2022-12-02,True,False,False
2022-12-03,True,False,False
2022-12-04,True,False,False
2022-12-05,True,False,False
2022-12-06,True,False,False
2022-12-07,True,False,False
2022-12-08,True,False,False
2022-12-09,True,False,False
2022-12-10,True,False,False
2022-12-11,True,False,False
2022-12-12,True,False,False
2022-12-13,True,False,False
2022-12-14,True,False,False
2022-12-15,True,False,False
2022-12-16,True,False,False
2022-12-17,True,False,False
2022-12-18,True,False,False
2022-12-19,True,False,False
2022-12-20,True,False,False
2022-12-21,True,False,False
2022-12-22,True,False,False
2022-12-23,True,False,False
2022-12-24,True,False,False
2022-12-25,True,False,False
2022-12-26,True,False,False
2022-12-27,True,False,False
2022-12-28,True,False,False
2022-12-29,True,False,False
2022-12-30,True,False,False
2022-12-31,True,False,False
